Period,Category,Subcategory,Amount
Apr-25,operating_expenses,software_&_subscription,350
Feb-25,operating_expenses,software_&_subscription,1972
Jan-25,operating_expenses,software_&_subscription,169
Mar-25,operating_expenses,software_&_subscription,1166
May-25,operating_expenses,software_&_subscription,1365
Apr-25,operating_expenses,office_supplies,350
Feb-25,operating_expenses,office_supplies,1972
Jan-25,operating_expenses,office_supplies,169
Mar-25,operating_expenses,office_supplies,1166
May-25,operating_expenses,office_supplies,1365
Apr-25,operating_expenses,office_supplies,350
Feb-25,operating_expenses,office_supplies,1972
Jan-25,operating_expenses,office_supplies,169
Mar-25,operating_expenses,office_supplies,1166
May-25,operating_expenses,office_supplies,1365
Apr-25,operating_expenses,office_supplies,350
Feb-25,operating_expenses,office_supplies,1972
Jan-25,operating_expenses,office_supplies,169
Mar-25,operating_expenses,office_supplies,1166
May-25,operating_expenses,office_supplies,1365
Apr-25,operating_expenses,office_supplies,350
Feb-25,operating_expenses,office_supplies,1972
Jan-25,operating_expenses,office_supplies,169
Mar-25,operating_expenses,office_supplies,1166
May-25,operating_expenses,office_supplies,1365
Apr-25,operating_expenses,salaries,595
Jan-25,operating_expenses,salaries,430
Mar-25,operating_expenses,salaries,545
Apr-25,operating_expenses,salaries,595
Jan-25,operating_expenses,salaries,430
Mar-25,operating_expenses,salaries,545
Apr-25,operating_expenses,training,595
Jan-25,operating_expenses,training,430
Mar-25,operating_expenses,training,545
Apr-25,operating_expenses,training,595
Jan-25,operating_expenses,training,430
Mar-25,operating_expenses,training,545
Apr-25,operating_expenses,salaries,595
Jan-25,operating_expenses,salaries,430
Mar-25,operating_expenses,salaries,545
Apr-25,operating_expenses,salaries,595
Jan-25,operating_expenses,salaries,430
Mar-25,operating_expenses,salaries,545
Apr-25,operating_expenses,training,595
Jan-25,operating_expenses,training,430
Mar-25,operating_expenses,training,545
Apr-25,operating_expenses,salaries,595
Jan-25,operating_expenses,salaries,430
Mar-25,operating_expenses,salaries,545
Apr-25,operating_expenses,salaries,595
Jan-25,operating_expenses,salaries,430
Mar-25,operating_expenses,salaries,545
Apr-25,operating_expenses,benefits,595
Jan-25,operating_expenses,benefits,430
Mar-25,operating_expenses,benefits,545
Apr-25,operating_expenses,operating_expenses,17593
Feb-25,operating_expenses,operating_expenses,22596
Jan-25,operating_expenses,operating_expenses,15892
Mar-25,operating_expenses,operating_expenses,19578
May-25,operating_expenses,operating_expenses,20663
Apr-25,operating_expenses,operating_expenses,17593
Feb-25,operating_expenses,operating_expenses,22596
Jan-25,operating_expenses,operating_expenses,15892
Mar-25,operating_expenses,operating_expenses,19578
May-25,operating_expenses,operating_expenses,20663
Apr-25,operating_expenses,operating_expenses,17593
Feb-25,operating_expenses,operating_expenses,22596
Jan-25,operating_expenses,operating_expenses,15892
Mar-25,operating_expenses,operating_expenses,19578
May-25,operating_expenses,operating_expenses,20663
Apr-25,total,total,17593
Feb-25,total,total,22596
Jan-25,total,total,15892
Mar-25,total,total,19578
May-25,total,total,20663
Apr-25,total,total,17593
Feb-25,total,total,22596
Jan-25,total,total,15892
Mar-25,total,total,19578
May-25,total,total,20663
Apr-25,total,total,17593
Feb-25,total,total,22596
Jan-25,total,total,15892
Mar-25,total,total,19578
May-25,total,total,20663
Apr-25,total,total,17593
Feb-25,total,total,22596
Jan-25,total,total,15892
Mar-25,total,total,19578
May-25,total,total,20663
Apr-25,operating_expenses,salaries,17593
Feb-25,operating_expenses,salaries,22596
Jan-25,operating_expenses,salaries,15892
Mar-25,operating_expenses,salaries,19578
May-25,operating_expenses,salaries,20663
Apr-25,operating_expenses,operating_expenses,17593
Feb-25,operating_expenses,operating_expenses,22596
Jan-25,operating_expenses,operating_expenses,15892
Mar-25,operating_expenses,operating_expenses,19578
May-25,operating_expenses,operating_expenses,20663
Apr-25,total,total,17593
Feb-25,total,total,22596
Jan-25,total,total,15892
Mar-25,total,total,19578
May-25,total,total,20663
Apr-25,financial_calculations,financial_calculations,6762
Feb-25,financial_calculations,financial_calculations,7032
Jan-25,financial_calculations,financial_calculations,10856
Mar-25,financial_calculations,financial_calculations,8716
May-25,financial_calculations,financial_calculations,10517
Apr-25,total,total,6762
Feb-25,total,total,7032
Jan-25,total,total,10856
Mar-25,total,total,8716
May-25,total,total,10517
Apr-25,calculation,calculation,6762
Feb-25,calculation,calculation,7032
Jan-25,calculation,calculation,10856
Mar-25,calculation,calculation,8716
May-25,calculation,calculation,10517
Apr-25,calculation,calculation,6762
Feb-25,calculation,calculation,7032
Jan-25,calculation,calculation,10856
Mar-25,calculation,calculation,8716
May-25,calculation,calculation,10517
Apr-25,financial_calculations,financial_calculations,6762
Feb-25,financial_calculations,financial_calculations,7032
Jan-25,financial_calculations,financial_calculations,10856
Mar-25,financial_calculations,financial_calculations,8716
May-25,financial_calculations,financial_calculations,10517
Apr-25,financial_calculations,financial_calculations,6762
Feb-25,financial_calculations,financial_calculations,7032
Jan-25,financial_calculations,financial_calculations,10856
Mar-25,financial_calculations,financial_calculations,8716
May-25,financial_calculations,financial_calculations,10517
Apr-25,financial_calculations,financial_calculations,6762
Feb-25,financial_calculations,financial_calculations,7032
Jan-25,financial_calculations,financial_calculations,10856
Mar-25,financial_calculations,financial_calculations,8716
May-25,financial_calculations,financial_calculations,10517
Apr-25,calculation,calculation,6762
Feb-25,calculation,calculation,7032
Jan-25,calculation,calculation,10856
Mar-25,calculation,calculation,8716
May-25,calculation,calculation,10517
Apr-25,calculation,calculation,6762
Feb-25,calculation,calculation,7032
Jan-25,calculation,calculation,10856
Mar-25,calculation,calculation,8716
May-25,calculation,calculation,10517
Apr-25,financial_calculations,financial_calculations,6762
Feb-25,financial_calculations,financial_calculations,7032
Jan-25,financial_calculations,financial_calculations,10856
Mar-25,financial_calculations,financial_calculations,8716
May-25,financial_calculations,financial_calculations,10517
Feb-25,operating_expenses,salaries,605
Feb-25,other_income_expense,other_expense,605
Feb-25,other_income_expense,other_expense,605
Feb-25,other_expenses,other_expenses,605
Feb-25,operating_expenses,salaries,605
Feb-25,other_expenses,other_expenses,605
Feb-25,other_income_expense,other_expense,605
Feb-25,other,other_expenses,605
Feb-25,other_expenses,other_expenses,605
Feb-25,other_expenses,other_expenses,605
Apr-25,other_income_expense,other_income,8848
Feb-25,other_income_expense,other_income,7320
Mar-25,other_income_expense,other_income,7917
May-25,other_income_expense,other_income,10242
Apr-25,other_income_expense,other_income,8848
Feb-25,other_income_expense,other_income,7320
Mar-25,other_income_expense,other_income,7917
May-25,other_income_expense,other_income,10242
Apr-25,other_income,other_income,8848
Feb-25,other_income,other_income,7320
Mar-25,other_income,other_income,7917
May-25,other_income,other_income,10242
Apr-25,revenue,other_income,8848
Feb-25,revenue,other_income,7320
Mar-25,revenue,other_income,7917
May-25,revenue,other_income,10242
Apr-25,revenue,other_income,8848
Feb-25,revenue,other_income,7320
Mar-25,revenue,other_income,7917
May-25,revenue,other_income,10242
Apr-25,other_income,other_income,8848
Feb-25,other_income,other_income,7320
Mar-25,other_income,other_income,7917
May-25,other_income,other_income,10242
Apr-25,other_income,other_income,8848
Feb-25,other_income,other_income,7320
Mar-25,other_income,other_income,7917
May-25,other_income,other_income,10242
Apr-25,other_income,other_income,8848
Feb-25,other_income,other_income,7320
Mar-25,other_income,other_income,7917
May-25,other_income,other_income,10242
Apr-25,revenue,other_income,8848
Feb-25,revenue,other_income,7320
Mar-25,revenue,other_income,7917
May-25,revenue,other_income,10242
Apr-25,other_income_expense,other_income,8848
Feb-25,other_income_expense,other_income,7320
Mar-25,other_income_expense,other_income,7917
May-25,other_income_expense,other_income,10242
Apr-25,other_income_expense,other_expense,9579
Feb-25,other_income_expense,other_expense,7320
Jan-25,other_income_expense,other_expense,2433
Mar-25,other_income_expense,other_expense,7917
May-25,other_income_expense,other_expense,10861
Apr-25,operating_expenses,other_expense,9579
Feb-25,operating_expenses,other_expense,7320
Jan-25,operating_expenses,other_expense,2433
Mar-25,operating_expenses,other_expense,7917
May-25,operating_expenses,other_expense,10861
Apr-25,operating_expenses,salaries,9579
Feb-25,operating_expenses,salaries,7320
Jan-25,operating_expenses,salaries,2433
Mar-25,operating_expenses,salaries,7917
May-25,operating_expenses,salaries,10861
Apr-25,other_income_expense,other_expense,9579
Feb-25,other_income_expense,other_expense,7320
Jan-25,other_income_expense,other_expense,2433
Mar-25,other_income_expense,other_expense,7917
May-25,other_income_expense,other_expense,10861
Apr-25,operating_expenses,salaries,9579
Feb-25,operating_expenses,salaries,7320
Jan-25,operating_expenses,salaries,2433
Mar-25,operating_expenses,salaries,7917
May-25,operating_expenses,salaries,10861
Apr-25,operating_expenses,salaries,9579
Feb-25,operating_expenses,salaries,7320
Jan-25,operating_expenses,salaries,2433
Mar-25,operating_expenses,salaries,7917
May-25,operating_expenses,salaries,10861
Apr-25,operating_expenses,salaries,9579
Feb-25,operating_expenses,salaries,7320
Jan-25,operating_expenses,salaries,2433
Mar-25,operating_expenses,salaries,7917
May-25,operating_expenses,salaries,10861
Apr-25,operating_expenses,salaries,9579
Feb-25,operating_expenses,salaries,7320
Jan-25,operating_expenses,salaries,2433
Mar-25,operating_expenses,salaries,7917
May-25,operating_expenses,salaries,10861
Apr-25,operating_expenses,salaries,9579
Feb-25,operating_expenses,salaries,7320
Jan-25,operating_expenses,salaries,2433
Mar-25,operating_expenses,salaries,7917
May-25,operating_expenses,salaries,10861
Apr-25,other_income_expense,other_expense,9579
Feb-25,other_income_expense,other_expense,7320
Jan-25,other_income_expense,other_expense,2433
Mar-25,other_income_expense,other_expense,7917
May-25,other_income_expense,other_expense,10861
Apr-25,revenue,revenue,730
Feb-25,revenue,revenue,605
Jan-25,revenue,revenue,2433
May-25,revenue,revenue,619
Apr-25,revenue,revenue,730
Feb-25,revenue,revenue,605
Jan-25,revenue,revenue,2433
May-25,revenue,revenue,619
Apr-25,total,total,730
Feb-25,total,total,605
Jan-25,total,total,2433
May-25,total,total,619
Apr-25,total,total,730
Feb-25,total,total,605
Jan-25,total,total,2433
May-25,total,total,619
Apr-25,total,total,730
Feb-25,total,total,605
Jan-25,total,total,2433
May-25,total,total,619
Apr-25,total,total,730
Feb-25,total,total,605
Jan-25,total,total,2433
May-25,total,total,619
Apr-25,revenue,revenue,730
Feb-25,revenue,revenue,605
Jan-25,revenue,revenue,2433
May-25,revenue,revenue,619
Apr-25,revenue,other_income,730
Feb-25,revenue,other_income,605
Jan-25,revenue,other_income,2433
May-25,revenue,other_income,619
Apr-25,revenue,revenue,730
Feb-25,revenue,revenue,605
Jan-25,revenue,revenue,2433
May-25,revenue,revenue,619
Apr-25,total,total,730
Feb-25,total,total,605
Jan-25,total,total,2433
May-25,total,total,619
Apr-25,profitability_metrics,profitability_metrics,6031
Feb-25,profitability_metrics,profitability_metrics,6426
Jan-25,profitability_metrics,profitability_metrics,8423
Mar-25,profitability_metrics,profitability_metrics,8716
May-25,profitability_metrics,profitability_metrics,9898
Apr-25,calculation,calculation,6031
Feb-25,calculation,calculation,6426
Jan-25,calculation,calculation,8423
Mar-25,calculation,calculation,8716
May-25,calculation,calculation,9898
Apr-25,calculation,calculation,6031
Feb-25,calculation,calculation,6426
Jan-25,calculation,calculation,8423
Mar-25,calculation,calculation,8716
May-25,calculation,calculation,9898
Apr-25,profitability_metrics,profitability_metrics,6031
Feb-25,profitability_metrics,profitability_metrics,6426
Jan-25,profitability_metrics,profitability_metrics,8423
Mar-25,profitability_metrics,profitability_metrics,8716
May-25,profitability_metrics,profitability_metrics,9898
Apr-25,calculation,calculation,6031
Feb-25,calculation,calculation,6426
Jan-25,calculation,calculation,8423
Mar-25,calculation,calculation,8716
May-25,calculation,calculation,9898
Apr-25,profitability_metrics,profitability_metrics,6031
Feb-25,profitability_metrics,profitability_metrics,6426
Jan-25,profitability_metrics,profitability_metrics,8423
Mar-25,profitability_metrics,profitability_metrics,8716
May-25,profitability_metrics,profitability_metrics,9898
Apr-25,calculation,calculation,6031
Feb-25,calculation,calculation,6426
Jan-25,calculation,calculation,8423
Mar-25,calculation,calculation,8716
May-25,calculation,calculation,9898
Apr-25,profitability_metrics,profitability_metrics,6031
Feb-25,profitability_metrics,profitability_metrics,6426
Jan-25,profitability_metrics,profitability_metrics,8423
Mar-25,profitability_metrics,profitability_metrics,8716
May-25,profitability_metrics,profitability_metrics,9898
Apr-25,calculation,calculation,6031
Feb-25,calculation,calculation,6426
Jan-25,calculation,calculation,8423
Mar-25,calculation,calculation,8716
May-25,calculation,calculation,9898
Apr-25,profitability_metrics,profitability_metrics,6031
Feb-25,profitability_metrics,profitability_metrics,6426
Jan-25,profitability_metrics,profitability_metrics,8423
Mar-25,profitability_metrics,profitability_metrics,8716
May-25,profitability_metrics,profitability_metrics,9898
Apr-25,margin,margin,13
Feb-25,margin,margin,13
Jan-25,margin,margin,18
Mar-25,margin,margin,18
May-25,margin,margin,17
Apr-25,margin_ratios,margin_ratios,13
Feb-25,margin_ratios,margin_ratios,13
Jan-25,margin_ratios,margin_ratios,18
Mar-25,margin_ratios,margin_ratios,18
May-25,margin_ratios,margin_ratios,17
Apr-25,margin_ratios,margin_ratios,13
Feb-25,margin_ratios,margin_ratios,13
Jan-25,margin_ratios,margin_ratios,18
Mar-25,margin_ratios,margin_ratios,18
May-25,margin_ratios,margin_ratios,17
Apr-25,margin_ratios,margin_ratios,13
Feb-25,margin_ratios,margin_ratios,13
Jan-25,margin_ratios,margin_ratios,18
Mar-25,margin_ratios,margin_ratios,18
May-25,margin_ratios,margin_ratios,17
Apr-25,margin,margin,13
Feb-25,margin,margin,13
Jan-25,margin,margin,18
Mar-25,margin,margin,18
May-25,margin,margin,17
Apr-25,margin,margin,13
Feb-25,margin,margin,13
Jan-25,margin,margin,18
Mar-25,margin,margin,18
May-25,margin,margin,17
Apr-25,margin_ratios,margin_ratios,13
Feb-25,margin_ratios,margin_ratios,13
Jan-25,margin_ratios,margin_ratios,18
Mar-25,margin_ratios,margin_ratios,18
May-25,margin_ratios,margin_ratios,17
Apr-25,margin,margin,13
Feb-25,margin,margin,13
Jan-25,margin,margin,18
Mar-25,margin,margin,18
May-25,margin,margin,17
Apr-25,margin,margin,13
Feb-25,margin,margin,13
Jan-25,margin,margin,18
Mar-25,margin,margin,18
May-25,margin,margin,17
Apr-25,margin_ratios,margin_ratios,13
Feb-25,margin_ratios,margin_ratios,13
Jan-25,margin_ratios,margin_ratios,18
Mar-25,margin_ratios,margin_ratios,18
May-25,margin_ratios,margin_ratios,17
Apr-25,earnings_before_tax,other_income,559
Feb-25,earnings_before_tax,other_income,780
Jan-25,earnings_before_tax,other_income,638
Mar-25,earnings_before_tax,other_income,668
May-25,earnings_before_tax,other_income,614
Apr-25,other_income,other_income,559
Feb-25,other_income,other_income,780
Jan-25,other_income,other_income,638
Mar-25,other_income,other_income,668
May-25,other_income,other_income,614
Apr-25,revenue,interest_income,559
Feb-25,revenue,interest_income,780
Jan-25,revenue,interest_income,638
Mar-25,revenue,interest_income,668
May-25,revenue,interest_income,614
Apr-25,other_income,other_income,559
Feb-25,other_income,other_income,780
Jan-25,other_income,other_income,638
Mar-25,other_income,other_income,668
May-25,other_income,other_income,614
Apr-25,revenue,interest_income,559
Feb-25,revenue,interest_income,780
Jan-25,revenue,interest_income,638
Mar-25,revenue,interest_income,668
May-25,revenue,interest_income,614
Apr-25,earnings_before_tax,other_income,559
Feb-25,earnings_before_tax,other_income,780
Jan-25,earnings_before_tax,other_income,638
Mar-25,earnings_before_tax,other_income,668
May-25,earnings_before_tax,other_income,614
Apr-25,other_income,other_income,559
Feb-25,other_income,other_income,780
Jan-25,other_income,other_income,638
Mar-25,other_income,other_income,668
May-25,other_income,other_income,614
Apr-25,earnings_before_tax,interest_income,559
Feb-25,earnings_before_tax,interest_income,780
Jan-25,earnings_before_tax,interest_income,638
Mar-25,earnings_before_tax,interest_income,668
May-25,earnings_before_tax,interest_income,614
Apr-25,other_income,other_income,559
Feb-25,other_income,other_income,780
Jan-25,other_income,other_income,638
Mar-25,other_income,other_income,668
May-25,other_income,other_income,614
Apr-25,earnings_before_tax,interest_income,559
Feb-25,earnings_before_tax,interest_income,780
Jan-25,earnings_before_tax,interest_income,638
Mar-25,earnings_before_tax,interest_income,668
May-25,earnings_before_tax,interest_income,614
Apr-25,revenue,other_income,14
Feb-25,revenue,other_income,99
Jan-25,revenue,other_income,3
Mar-25,revenue,other_income,1
May-25,revenue,other_income,33
Apr-25,earnings_before_tax,gain_on_fx,14
Feb-25,earnings_before_tax,gain_on_fx,99
Jan-25,earnings_before_tax,gain_on_fx,3
Mar-25,earnings_before_tax,gain_on_fx,1
May-25,earnings_before_tax,gain_on_fx,33
Apr-25,earnings_before_tax,gain_on_fx,14
Feb-25,earnings_before_tax,gain_on_fx,99
Jan-25,earnings_before_tax,gain_on_fx,3
Mar-25,earnings_before_tax,gain_on_fx,1
May-25,earnings_before_tax,gain_on_fx,33
Apr-25,other_income,other_income,14
Feb-25,other_income,other_income,99
Jan-25,other_income,other_income,3
Mar-25,other_income,other_income,1
May-25,other_income,other_income,33
Apr-25,other_income,other_income,14
Feb-25,other_income,other_income,99
Jan-25,other_income,other_income,3
Mar-25,other_income,other_income,1
May-25,other_income,other_income,33
Apr-25,revenue,other_income,14
Feb-25,revenue,other_income,99
Jan-25,revenue,other_income,3
Mar-25,revenue,other_income,1
May-25,revenue,other_income,33
Apr-25,other_income,other_income,14
Feb-25,other_income,other_income,99
Jan-25,other_income,other_income,3
Mar-25,other_income,other_income,1
May-25,other_income,other_income,33
Apr-25,earnings_before_tax,gain_on_fx,14
Feb-25,earnings_before_tax,gain_on_fx,99
Jan-25,earnings_before_tax,gain_on_fx,3
Mar-25,earnings_before_tax,gain_on_fx,1
May-25,earnings_before_tax,gain_on_fx,33
Apr-25,revenue,other_income,14
Feb-25,revenue,other_income,99
Jan-25,revenue,other_income,3
Mar-25,revenue,other_income,1
May-25,revenue,other_income,33
Apr-25,other_income,other_income,14
Feb-25,other_income,other_income,99
Jan-25,other_income,other_income,3
Mar-25,other_income,other_income,1
May-25,other_income,other_income,33
Feb-25,other_expenses,other_expenses,9
May-25,other_expenses,other_expenses,4
Feb-25,earnings_before_tax,loss_on_fx,9
May-25,earnings_before_tax,loss_on_fx,4
Feb-25,earnings_before_tax,loss_on_fx,9
May-25,earnings_before_tax,loss_on_fx,4
Feb-25,other_expenses,other_expenses,9
May-25,other_expenses,other_expenses,4
Feb-25,revenue,other_income,9
May-25,revenue,other_income,4
Feb-25,earnings_before_tax,loss_on_fx,9
May-25,earnings_before_tax,loss_on_fx,4
Feb-25,other_expenses,other_expenses,9
May-25,other_expenses,other_expenses,4
Feb-25,other_expenses,other_expenses,9
May-25,other_expenses,other_expenses,4
Feb-25,revenue,other_income,9
May-25,revenue,other_income,4
Feb-25,revenue,other_income,9
May-25,revenue,other_income,4
Apr-25,total,total,6603
Feb-25,total,total,7297
Jan-25,total,total,9064
Mar-25,total,total,9386
May-25,total,total,10540
Apr-25,total,total,6603
Feb-25,total,total,7297
Jan-25,total,total,9064
Mar-25,total,total,9386
May-25,total,total,10540
Apr-25,financial_calculations,financial_calculations,6603
Feb-25,financial_calculations,financial_calculations,7297
Jan-25,financial_calculations,financial_calculations,9064
Mar-25,financial_calculations,financial_calculations,9386
May-25,financial_calculations,financial_calculations,10540
Apr-25,total,total,6603
Feb-25,total,total,7297
Jan-25,total,total,9064
Mar-25,total,total,9386
May-25,total,total,10540
Apr-25,total,total,6603
Feb-25,total,total,7297
Jan-25,total,total,9064
Mar-25,total,total,9386
May-25,total,total,10540
Apr-25,total,total,6603
Feb-25,total,total,7297
Jan-25,total,total,9064
Mar-25,total,total,9386
May-25,total,total,10540
Apr-25,financial_calculations,financial_calculations,6603
Feb-25,financial_calculations,financial_calculations,7297
Jan-25,financial_calculations,financial_calculations,9064
Mar-25,financial_calculations,financial_calculations,9386
May-25,financial_calculations,financial_calculations,10540
Apr-25,taxes,income_tax,6603
Feb-25,taxes,income_tax,7297
Jan-25,taxes,income_tax,9064
Mar-25,taxes,income_tax,9386
May-25,taxes,income_tax,10540
Apr-25,taxes,income_tax,6603
Feb-25,taxes,income_tax,7297
Jan-25,taxes,income_tax,9064
Mar-25,taxes,income_tax,9386
May-25,taxes,income_tax,10540
Apr-25,taxes,other_taxes,2649
Feb-25,taxes,other_taxes,1673
Jan-25,taxes,other_taxes,1076
Mar-25,taxes,other_taxes,1484
May-25,taxes,other_taxes,630
Apr-25,other_expenses,income_tax,2649
Feb-25,other_expenses,income_tax,1673
Jan-25,other_expenses,income_tax,1076
Mar-25,other_expenses,income_tax,1484
May-25,other_expenses,income_tax,630
Apr-25,taxes,other_taxes,2649
Feb-25,taxes,other_taxes,1673
Jan-25,taxes,other_taxes,1076
Mar-25,taxes,other_taxes,1484
May-25,taxes,other_taxes,630
Apr-25,other_expenses,income_tax,2649
Feb-25,other_expenses,income_tax,1673
Jan-25,other_expenses,income_tax,1076
Mar-25,other_expenses,income_tax,1484
May-25,other_expenses,income_tax,630
Apr-25,other_expenses,income_tax,2649
Feb-25,other_expenses,income_tax,1673
Jan-25,other_expenses,income_tax,1076
Mar-25,other_expenses,income_tax,1484
May-25,other_expenses,income_tax,630
Apr-25,taxes,other_taxes,2649
Feb-25,taxes,other_taxes,1673
Jan-25,taxes,other_taxes,1076
Mar-25,taxes,other_taxes,1484
May-25,taxes,other_taxes,630
Apr-25,other_expenses,income_tax,2649
Feb-25,other_expenses,income_tax,1673
Jan-25,other_expenses,income_tax,1076
Mar-25,other_expenses,income_tax,1484
May-25,other_expenses,income_tax,630
Apr-25,revenue,other_income,6603
Feb-25,revenue,other_income,7297
Jan-25,revenue,other_income,9064
Mar-25,revenue,other_income,9386
May-25,revenue,other_income,10540
Apr-25,financial_calculations,financial_calculations,2649
Feb-25,financial_calculations,financial_calculations,1673
Jan-25,financial_calculations,financial_calculations,1076
Mar-25,financial_calculations,financial_calculations,1484
May-25,financial_calculations,financial_calculations,630
Apr-25,financial_calculations,financial_calculations,2649
Feb-25,financial_calculations,financial_calculations,1673
Jan-25,financial_calculations,financial_calculations,1076
Mar-25,financial_calculations,financial_calculations,1484
May-25,financial_calculations,financial_calculations,630
Apr-25,financial_calculations,financial_calculations,2649
Feb-25,financial_calculations,financial_calculations,1673
Jan-25,financial_calculations,financial_calculations,1076
Mar-25,financial_calculations,financial_calculations,1484
May-25,financial_calculations,financial_calculations,630
Apr-25,financial_calculations,financial_calculations,3955
Feb-25,financial_calculations,financial_calculations,5624
Jan-25,financial_calculations,financial_calculations,7988
Mar-25,financial_calculations,financial_calculations,7901
May-25,financial_calculations,financial_calculations,9910
Apr-25,calculation,calculation,3955
Feb-25,calculation,calculation,5624
Jan-25,calculation,calculation,7988
Mar-25,calculation,calculation,7901
May-25,calculation,calculation,9910
Apr-25,total,total,3955
Feb-25,total,total,5624
Jan-25,total,total,7988
Mar-25,total,total,7901
May-25,total,total,9910
Apr-25,total,total,3955
Feb-25,total,total,5624
Jan-25,total,total,7988
Mar-25,total,total,7901
May-25,total,total,9910
Apr-25,total,total,3955
Feb-25,total,total,5624
Jan-25,total,total,7988
Mar-25,total,total,7901
May-25,total,total,9910
Apr-25,total,total,3955
Feb-25,total,total,5624
Jan-25,total,total,7988
Mar-25,total,total,7901
May-25,total,total,9910
Apr-25,financial_calculations,financial_calculations,3955
Feb-25,financial_calculations,financial_calculations,5624
Jan-25,financial_calculations,financial_calculations,7988
Mar-25,financial_calculations,financial_calculations,7901
May-25,financial_calculations,financial_calculations,9910
Apr-25,financial_calculations,financial_calculations,9
Feb-25,financial_calculations,financial_calculations,11
Jan-25,financial_calculations,financial_calculations,17
Mar-25,financial_calculations,financial_calculations,16
May-25,financial_calculations,financial_calculations,17
Apr-25,margin,margin,9
Feb-25,margin,margin,11
Jan-25,margin,margin,17
Mar-25,margin,margin,16
May-25,margin,margin,17
Apr-25,margin,margin,9
Feb-25,margin,margin,11
Jan-25,margin,margin,17
Mar-25,margin,margin,16
May-25,margin,margin,17
Apr-25,financial_calculations,financial_calculations,9
Feb-25,financial_calculations,financial_calculations,11
Jan-25,financial_calculations,financial_calculations,17
Mar-25,financial_calculations,financial_calculations,16
May-25,financial_calculations,financial_calculations,17
Apr-25,margin,margin,9
Feb-25,margin,margin,11
Jan-25,margin,margin,17
Mar-25,margin,margin,16
May-25,margin,margin,17
Apr-25,revenue,revenue,3955
Feb-25,revenue,revenue,5624
Jan-25,revenue,revenue,7988
Mar-25,revenue,revenue,7901
May-25,revenue,revenue,9910
Apr-25,revenue,revenue,3955
Feb-25,revenue,revenue,5624
Jan-25,revenue,revenue,7988
Mar-25,revenue,revenue,7901
May-25,revenue,revenue,9910
Apr-25,margin,margin,9
Feb-25,margin,margin,11
Jan-25,margin,margin,17
Mar-25,margin,margin,16
May-25,margin,margin,17
Apr-25,revenue,sales,3955
Feb-25,revenue,sales,5624
Jan-25,revenue,sales,7988
Mar-25,revenue,sales,7901
May-25,revenue,sales,9910
Apr-25,margin,margin,9
Feb-25,margin,margin,11
Jan-25,margin,margin,17
Mar-25,margin,margin,16
May-25,margin,margin,17
Apr-25,revenue,revenue,9
Feb-25,revenue,revenue,11
Jan-25,revenue,revenue,17
Mar-25,revenue,revenue,16
May-25,revenue,revenue,17
Apr-25,revenue,sales,9
Feb-25,revenue,sales,11
Jan-25,revenue,sales,17
Mar-25,revenue,sales,16
May-25,revenue,sales,17
Apr-25,revenue,revenue,9
Feb-25,revenue,revenue,11
Jan-25,revenue,revenue,17
Mar-25,revenue,revenue,16
May-25,revenue,revenue,17
Apr-25,revenue,other_income,4789
Feb-25,revenue,other_income,4415
Jan-25,revenue,other_income,4443
Mar-25,revenue,other_income,4789
May-25,revenue,other_income,4789
Apr-25,revenue,other_income,4789
Feb-25,revenue,other_income,4415
Jan-25,revenue,other_income,4443
Mar-25,revenue,other_income,4789
May-25,revenue,other_income,4789
Apr-25,other,miscellaneous,14632
Feb-25,other,miscellaneous,14632
Jan-25,other,miscellaneous,14632
Mar-25,other,miscellaneous,14632
May-25,other,miscellaneous,14632
Apr-25,other,miscellaneous,14632
Feb-25,other,miscellaneous,14632
Jan-25,other,miscellaneous,14632
Mar-25,other,miscellaneous,14632
May-25,other,miscellaneous,14632
Apr-25,revenue,other_income,26267
Feb-25,revenue,other_income,30123
Jan-25,revenue,other_income,27211
Mar-25,revenue,other_income,28997
May-25,revenue,other_income,37287
Apr-25,revenue,other_income,26267
Feb-25,revenue,other_income,30123
Jan-25,revenue,other_income,27211
Mar-25,revenue,other_income,28997
May-25,revenue,other_income,37287
Apr-25,revenue,services,45689
Feb-25,revenue,services,49171
Jan-25,revenue,services,46287
Mar-25,revenue,services,48418
May-25,revenue,services,56708
Apr-25,revenue,services,45689
Feb-25,revenue,services,49171
Jan-25,revenue,services,46287
Mar-25,revenue,services,48418
May-25,revenue,services,56708
Apr-25,revenue,services,45689
Feb-25,revenue,services,49171
Jan-25,revenue,services,46287
Mar-25,revenue,services,48418
May-25,revenue,services,56708
Apr-25,revenue,services,45689
Feb-25,revenue,services,49171
Jan-25,revenue,services,46287
Mar-25,revenue,services,48418
May-25,revenue,services,56708
Apr-25,revenue,services,45689
Feb-25,revenue,services,49171
Jan-25,revenue,services,46287
Mar-25,revenue,services,48418
May-25,revenue,services,56708
Apr-25,revenue,services,45689
Feb-25,revenue,services,49171
Jan-25,revenue,services,46287
Mar-25,revenue,services,48418
May-25,revenue,services,56708
Apr-25,total,total,45689
Feb-25,total,total,49171
Jan-25,total,total,46287
Mar-25,total,total,48418
May-25,total,total,56708
Apr-25,total,total,45689
Feb-25,total,total,49171
Jan-25,total,total,46287
Mar-25,total,total,48418
May-25,total,total,56708
Apr-25,revenue,sales,45689
Feb-25,revenue,sales,49171
Jan-25,revenue,sales,46287
